id,name,review_count,rating,latitude,longitude,price,zip_code
ngu3My-XGzNNL7Bxul5ulQ,Ottava Via,717,4.0,42.33172,-83.0657,2,48216
WiKKNXaHC4Zino2A1m3ftQ,Royale with Cheese,573,4.0,42.35034,-83.06341,2,48201
oeomzExb17rIkur7hNK-HQ,Vicente's Cuban Cuisine,849,4.0,42.33447,-83.04708,2,48226
DuFQa_-drBCwMRGsMzMPsQ,Pie Sci,266,4.5,42.35396,-83.08003,2,48208
CnCpxcw9r6lgKDk4br8TKA,Bakersfield,586,4.0,42.34518,-83.05572,2,48201
JoZ0n3kkbSuGr4Xemig0mA,Motor City Brewing Works-Canfield,515,4.0,42.35176,-83.06602,2,48201
kLwuEacC69wf8aVAa0BojA,Taqueria Mi Pueblo,543,4.0,42.31709,-83.12419,1,48209
qa70o0JbMVMQJf4fvWiZaw,Johnny Noodle King,762,4.0,42.31885,-83.07437,2,48216
TUR6H5mBXMDGt3qjv5sekg,Buddy's Pizza,284,4.5,42.41897,-83.06405,2,48212
bXr2fXKhEOJqm3EPdTJMCw,Avalon International Breads,334,4.5,42.35041,-83.06408,1,48201
jDHPcMstUfhnbp-4dVm7YQ,SavannahBlue,501,4.0,42.33419,-83.05233,2,48226
RvZGz_qp8JWfG27vI-TnBQ,Mercury Burger Bar,757,4.0,42.33116,-83.07614,2,48216
2sIc82MtKcAjx7oW3b6sqA,Andiamo,622,4.0,42.32823,-83.03966,3,48243
PyWdjQkGTkOcprSk3WRFNw,Honey Bee La Colmena,233,4.5,42.32564,-83.07651,1,48216
-rc4wleX8H706sc8D8wU2Q,Chili Mustard Onions,229,4.5,42.34767,-83.05283,2,48201
66OeH9RD62D3bXbqefjYvw,Giovanni's Ristorante,305,4.5,42.29032,-83.14591,3,48217
T6Zl8NssV2qy8Vn9c9ueDQ,Bobcat Bonnie's,593,4.0,42.33154,-83.07074,2,48216
DsXh8jluV0BaSkVhxQre8Q,SheWolf Pastificio & Bar,378,4.0,42.34795,-83.0627,3,48201
FyEORWCcFAy3VCeixbU2VQ,Parc,728,4.0,42.33142,-83.04686,3,48226
ZrThFosYNhJmoMx0FI8P3A,Joe Muer Seafood,692,4.0,42.32795,-83.04014,3,48243
unpNAU7aIF11_VQvZXUOWg,The Apparatus Room,629,4.0,42.32816,-83.04851,3,48226
5hGsCVDQ_Iz6997CXG3amw,Roasting Plant Detroit,304,4.5,42.33111,-83.0461,1,48226
k5gw_iV5voifCSsSn6d1_w,Pupusería y Restaurante Salvadoreño,234,4.5,42.32485,-83.11624,1,48210
