id,name,review_count,rating,latitude,longitude,price,zip_code
-ZXwBcWPFoP9NdkZC_P7oA,McDonald's,13,1.5,42.41632,-83.20033,1,48235
Qe05v0bk1Pkgn0beDilwBw,Burger King,7,1,42.41682,-83.18044,1,48235
TGpIkv8F3f6e_s2sYbt1PA,MOD Pizza,198,4.5,42.37989,-83.33371,1,48150
7smzsexiNncwLxEynK1AhA,Wingstop,100,3,42.38437,-83.32469,1,48150
m6h4qUOR4zAE5x--DlSnBA,Culver's,56,3.5,42.38012,-83.33138,1,48150
IyPLph0663GAl1zQphdpuQ,Noodles & Company,72,3.5,42.36841,-83.33376,1,48150
92fBKCREZyg3HcLwnpm1Xg,Outback Steakhouse,156,3,42.37967,-83.33258,2,48150
ldN-SZk-tpm4fK8jAAkgww,Five Guys,63,3.5,42.36848,-83.33399,2,48150
nD0tQA0valtn6lY5P7duuw,Einstein Bros. Bagels,25,4,42.3312,-83.2038,1,48126
BAQbuXIB-8JFL6YaZLJ-BQ,Little Caesars Pizza,8,3.5,42.31942,-83.09781,1,48209
7Gme_8oze5EAZGB2IajPVg,Burger King,4,4.5,42.31544,-83.10896,1,48209
HfPchgOrF1t1sGT7qrZVyw,White Castle,10,3.5,42.41476,-82.93996,1,48224
8gU83AsQXjpwkyjxcw-rFw,Einstein Bros. Bagels,22,3.5,42.42158,-82.91066,1,48236
-wjGVeP6aisGqNH57FC5Pw,Jet's Pizza,29,2.5,42.40091,-82.9179,1,48230
6ylajK1M5ZRicMLzmZOxSA,Popeyes Louisiana Kitchen,20,1.5,42.41437,-82.94016,1,48224
inUJshp0tzWB6LjkidSW1w,McDonald's,93,1.5,42.40946,-82.91446,1,48224
nZGGl6h3BVbFPuZAeVgjSw,Wendy's,33,1.5,42.41482,-82.91087,1,48236
QhE1EvbeOwtjcS03mlWj4w,Burger King,11,1.5,42.40743,-82.92503,1,48224
dS2C-KokxTiPQ0nGjXWxeQ,Chipotle Mexican Grill,36,1.5,42.40651,-82.91581,0,48224
3RvTPQxEUruCtKjOo8BISw,Domino's Pizza,23,1.5,42.40614,-82.92867,1,48224
9DvVzWy4lIqRG4B_IDPgFg,Wendy's,7,1.5,42.41592,-82.93731,1,48224
SDsASNjVVTZLzZVdMpwlqA,Tubby's,3,2,42.41728,-82.93505,0,48224
4VoifS8MIa8KXApVJcG2fg,Happy's Pizza,6,2,42.42273,-82.94211,0,48224
AM-XblfsLIuUH9DCyRm87A,Little Caesars Pizza,6,3.5,42.41304,-82.99261,1,48205
z_FSVB0mvVSdatOiY2jstA,Long John Silver's,6,3,42.40957,-82.99395,0,48213
oyOVCXOX6VWSdlg1y-_HrA,McDonald's,7,3,42.44087,-83.02392,1,48234
cWqp9QrzQVCRYL7ywQlwrg,Domino's Pizza,8,2,42.42366,-82.98474,1,48205
QyA5HCNAyvvkxp0bsOgecw,Popeyes Louisiana Kitchen,9,2,42.43389,-82.97798,1,48205
pWV6b6Vc9XAVVtFq-jFUBA,Church's Chicken,3,2.5,42.43486,-82.97722,0,48205
8yfAdr2gj6qFls2onDQL6A,Wendy's,2,1.5,42.41746,-82.98907,1,48205
ItEyftpRDk-YgxDIVTIIXg,McDonald's,2,1,42.43474,-82.97843,1,48205
2X4uFG-XXBBrKPChGmbYlA,Jet's Pizza,45,2.5,42.39812,-83.05896,1,48212
