id,name,review_count,rating,latitude,latitude_truncated,longitude,longitude_truncated,price,zip_code,is_black_owned
1i1A1gTrIyPdbxI_oYHOLg,Chick'nCone,34,3.5,38.641007655701294,38.641,-90.2621966,-90.26219,,63108,1
zyFn7oqokhaUaPPqd2FbbA,Chase Club,46,3.0,38.643984,38.64398,-90.264292,-90.26429,$$,63108,1
ao_CiBbTA0QHAI16-T14bw,Chong Wah,43,3.5,38.641264163986,38.64126,-90.2457704875927,-90.24577,$,63108,1
a3bZJ-XVjDLS6cs5VuEFOg,Roper's Ribs,83,4.5,38.71779,38.71779,-90.26102,-90.26102,$$,63136,0
6ocjEAlJYLZu0SksTMUZRg,Playboy El Cappuccino,25,3.5,38.717288,38.71728,-90.229209,-90.2292,$$,63147,0
mMYOD9QWfYXo1LY2RPEN7A,Lisa's Chop Suey,19,4.0,38.7260131835938,38.72601,-90.2443389892578,-90.24433,$,63136,0
PL6CzuA_gDqBL_eWc_6ouw,The White Barn,28,4.0,38.751384,38.75138,-90.243537,-90.24353,$,63136,0
U5iSWfTcvzqnur3SZkGBHA,JC Supper Club,13,4.0,38.7285,38.72849,-90.222854,-90.22285,$$,63137,0
VV4l-yVqI2RDR0PYt6QDlA,St Louis Q,14,4.0,38.712947845459,38.71294,-90.2553939819336,-90.25539,$,63136,0
ndrcxVKd-z_M-GiG5w8kYA,C & K Barbecue,32,3.5,38.6994258,38.69942,-90.2713138,-90.27131,$$,63121,0
66iPAV8RfO84cC0W83RrcQ,Miami Grill,6,4.5,38.70341,38.70341,-90.25321,-90.25321,,63120,0
ZxYFj8qagM3LYqd-SlDrgA,Imo's Pizza,64,2.5,38.679527,38.67952,-90.260704,-90.2607,$$,63115,0
31_JqV2ZinZ7Uo4DKiKFEQ,Northland Chop Suey Chinese Restaurant,9,4.5,38.73712,38.73711,-90.27777,-90.27777,$,63136,0
hNYgEnEfGAvHyuHuMHsWMQ,CBS Barbeque and Cafe Brown Stone Catering,6,5.0,38.6769485,38.67694,-90.2677078,-90.2677,$,63120,1
C0wTjg67T6jPvw7M1wsx-g,China House,15,3.5,38.750058809929605,38.75005,-90.2782811349865,-90.27828,$,63136,0
JKmqeigSs6vLKpjoRPhLug,C-W Fried & Grill,3,4.5,38.7275737524033,38.72757,-90.2243922650814,-90.22439,$,63137,0
PbLOYYF-qoENx6Cy2zLK7w,China King,9,4.0,38.7284712084294,38.72847,-90.2758658411666,-90.27586,$,63136,0
54X8EMNaeeMjleWUZENl6w,New York Grill,13,4.0,38.7481134821205,38.74811,-90.2805773427168,-90.28057,$,63136,0
mJJTx-x896dLV2gSMwQ35g,Mack's Chicken,23,3.0,38.748836517334,38.74883,-90.2544937133789,-90.25449,$,63136,0
oe-0vToZLliusFJQrX5Jqw,Wok And Roll STL,5,5.0,38.699878692627,38.69987,-90.358268737793,-90.35826,,63114,0
Vil6Ox7d0GXkKHIzztyUfA,The Bridge Coffee House,20,4.5,38.8364047,38.8364,-90.4959406,-90.49594,$,63301,0
g42sTNn6GziOBpehgO4avg,Speedie Grill,1,5.0,38.72585276765966,38.72585,-90.2276474,-90.22764,,63147,0
gkZbFkzlp8etmXQZSllfMA,Hunan Chop Suey Chinese Restaurant,11,3.5,38.7456512451172,38.74565,-90.2789916992188,-90.27899,$,63136,0
BXuaJeNMyHrxgb8lB6rxgw,Vinh Chop Suey,1,4.0,38.7126274108887,38.71262,-90.22998046875,-90.22998,,63147,0
YgO7Rsia2ggQQ8uOGvKWTQ,Yet Bun Chop Suey,5,4.0,38.68604,38.68604,-90.27185,-90.27185,$,63120,0
Mnr3Qp-sPIpuIjKzENqxVg,Krab Kingz,18,2.5,38.72956,38.72956,-90.27569,-90.27569,,63136,0
sB3spzDkB9eHfwPYLptngg,King Chop Suey,1,5.0,38.71269845316682,38.71269,-90.25493586766979,-90.25493,,63136,0
te6BFDPby1vKXVeJwuX9gw,St Louis Fish & Chicken,5,3.0,38.701561,38.70156,-90.2628632,-90.26286,,63136,0
zlQRnNvR9WnySLUiuUmBSg,Ari’s Ice Cream Parlor and Café,3,4.5,38.68242,38.68242,-90.26623,-90.26623,,63120,0
pYP_dZ0Gf6WNms6OZzx3Qw,Tripe City,9,3.0,38.6775993,38.67759,-90.2547487,-90.25474,,63115,1
djcrL2THl7NlxLbHRh18gw,Kowloon Restaurant,1,5.0,38.71792,38.71792,-90.26087,-90.26087,,63136,0
ltP91jlc90p_2Qe3opWloA,Imo's Pizza,10,1.0,38.72218,38.72218,-90.23947,-90.23947,,63147,0
yMMXSrKjywmLkJiRLw2t0w,Potnar's Fish & Grill,3,4.0,38.750371,38.75037,-90.240482,-90.24048,,63136,0
iDknawncHgDIcoFmlRJCLg,China Chop Suey,2,3.0,38.71259,38.71259,-90.25406,-90.25406,,63136,0
p9d2OHIO3ls4QSplAE_-8w,London's Wing House,12,2.0,38.749156,38.74915,-90.282558,-90.28255,$,63135,0
xpDjY2Z7YP_41Z8aIZZNHA,Truck Norris,7,4.5,38.56493,38.56492,-90.52335,-90.52335,,63021,0
CHcRDqOUB-57i8zSpTjShw,pizza express,2,2.5,53.3336143493652,53.33361,-1.35447728633881,-1.35447,,S20 8ER,0
9hm7q6J-PTJK-kS1b3SO3g,FISH HOUSE,3,3.5,38.691161484075536,38.69116,-90.2768948301673,-90.27689,,63120,0
c-QzuVK3q5BHGcIdI0nHdA,Leawa Chop Suey,3,3.5,38.7494383,38.74943,-90.239626,-90.23962,$,63136,0
q4mFOIxTqdNjVpXtoJJY1g,Son Ja's Soul Food,4,3.5,38.7488649,38.74886,-90.2511631,-90.25116,,63136,0
f_6cI4MdPem_48WgD1Ofcw,Clara B's Kitchen Table,5,5.0,38.5134231,38.51342,-89.98252889999999,-89.98252,,62220,0
pPk68qbu4lnuFhIYrhTDOA,Hawaiian Grill,2,4.0,38.7226135767265,38.72261,-90.2703323960111,-90.27033,,63136,0
1dF6hKCLrdEPDOWcwrXgOA,TJ's Pizza,4,3.0,38.75412,38.75412,-90.19647,-90.19647,$,63137,0
xt0HtWqGkUIJZwQBEnwvrg,Chicken A Peel,1,3.0,38.725119476624,38.72511,-90.2489242257515,-90.24892,$,63136,0
TqmnnAxB6E1O3ufngyt6yQ,Chu Vu III Chop Suey Restaurant,2,3.5,38.7467218,38.74672,-90.2532873,-90.25328,$,63136,0
